Wall time,Step,Value
1570275833.5874612,391,81.16600036621094
1570275910.594403,782,63.91600036621094
1570275987.743991,1173,53.45600128173828
1570276064.992342,1564,43.040000915527344
1570276142.1269393,1955,34.72600173950195
1570276219.366286,2346,29.56399917602539
1570276296.5916705,2737,25.1200008392334
1570276373.9347394,3128,22.18199920654297
1570276451.5102148,3519,20.101999282836914
1570276529.0048494,3910,18.729999542236328
1570276606.3708572,4301,17.426000595092773
1570276683.9682457,4692,16.31999969482422
1570276761.3243098,5083,15.17199993133545
1570276838.6274562,5474,14.552000045776367
1570276915.7670696,5865,13.795999526977539
1570276993.254781,6256,13.307999610900879
1570277070.4851222,6647,12.755999565124512
1570277147.9089751,7038,12.295999526977539
1570277225.223122,7429,11.779999732971191
1570277302.4953809,7820,11.321999549865723
1570277379.907265,8211,11.041999816894531
1570277457.1187186,8602,10.685999870300293
1570277534.3869855,8993,10.534000396728516
1570277611.6761687,9384,9.833999633789062
1570277688.9514198,9775,9.894000053405762
1570277766.3543284,10166,9.699999809265137
1570277843.3872273,10557,9.605999946594238
1570277920.7881718,10948,9.407999992370605
1570277998.1820755,11339,9.197999954223633
1570278075.3964877,11730,8.934000015258789
1570278152.740583,12121,8.5
1570278230.1534362,12512,8.411999702453613
1570278307.3100042,12903,8.338000297546387
1570278384.7248814,13294,8.345999717712402
1570278461.8794544,13685,8.192000389099121
1570278539.2464604,14076,7.843999862670898
1570278617.0415268,14467,7.883999824523926
1570278694.3557003,14858,7.760000228881836
1570278771.5661235,15249,7.685999870300293
1570278849.1734855,15640,7.552000045776367
1570278926.5554788,16031,7.438000202178955
1570279003.7419388,16422,7.283999919891357
1570279081.3133967,16813,7.276000022888184
1570279158.5816653,17204,7.283999919891357
1570279235.863897,17595,7.1020002365112305
1570279313.175052,17986,6.920000076293945
1570279390.479254,18377,7.035999774932861
1570279467.93502,18768,6.544000148773193
1570279545.3568501,19159,6.995999813079834
1570279622.566277,19550,6.610000133514404
1570279699.8864195,19941,6.480000019073486
1570279777.3012853,20332,6.519999980926514
1570279854.5047274,20723,6.610000133514404
1570279931.7181785,21114,6.544000148773193
1570280008.8667324,21505,6.486000061035156
1570280086.212794,21896,6.449999809265137
1570280163.4292321,22287,6.572000026702881
1570280240.6566098,22678,6.314000129699707
1570280318.0385451,23069,6.202000141143799
1570280395.4264977,23460,6.0320000648498535
1570280472.7137132,23851,6.260000228881836
1570280549.8563178,24242,6.289999961853027
1570280627.0857236,24633,5.9720001220703125
1570280704.3778968,25024,5.9079999923706055
1570280781.6860588,25415,5.9079999923706055
1570280859.006189,25806,5.811999797821045
1570280936.1278725,26197,5.869999885559082
1570281013.4260395,26588,6.00600004196167
1570281090.7581382,26979,5.906000137329102
1570281168.041367,27370,5.642000198364258
1570281245.2458081,27761,5.8979997634887695
1570281322.3654737,28152,5.633999824523926
1570281399.7254987,28543,5.808000087738037
