Wall time,Step,Value
1570229461.395704,391,71.69200134277344
1570229492.626177,782,61.67399978637695
1570229523.6940563,1173,55.67599868774414
1570229554.9533901,1564,47.029998779296875
1570229586.249658,1955,40.14799880981445
1570229617.5489168,2346,34.54800033569336
1570229648.821248,2737,31.152000427246094
1570229680.066685,3128,28.398000717163086
1570229711.3908436,3519,26.690000534057617
1570229742.6452227,3910,25.04199981689453
1570229773.6852036,4301,23.875999450683594
1570229804.992412,4692,23.100000381469727
1570229836.1081622,5083,22.691999435424805
1570229867.4413307,5474,21.08799934387207
1570229898.7036884,5865,21.01799964904785
1570229929.9919767,6256,20.176000595092773
1570229961.2004786,6647,19.52400016784668
1570229992.3990066,7038,19.06800079345703
1570230023.6454358,7429,18.874000549316406
1570230054.9007845,7820,18.59600067138672
1570230085.9547,8211,17.766000747680664
1570230117.197134,8602,17.738000869750977
1570230148.4215703,8993,17.29400062561035
1570230179.6859505,9384,17.43400001525879
1570230210.9602475,9775,16.72599983215332
1570230242.289456,10166,16.77199935913086
1570230273.614617,10557,16.600000381469727
1570230304.9717214,10948,16.062000274658203
1570230336.4544885,11339,16.29400062561035
1570230367.8056095,11730,16.006000518798828
1570230399.0071292,12121,15.687999725341797
1570230430.2206178,12512,15.468000411987305
1570230461.5039194,12903,15.236000061035156
1570230492.711457,13294,15.045999526977539
1570230523.892001,13685,14.887999534606934
1570230555.1014996,14076,14.937999725341797
1570230586.316983,14467,14.637999534606934
1570230617.561389,14858,14.758000373840332
1570230648.819757,15249,14.557999610900879
1570230680.0880985,15640,14.517999649047852
1570230711.4970644,16031,14.369999885559082
1570230742.8382115,16422,14.248000144958496
1570230774.177364,16813,13.843999862670898
1570230805.4377778,17204,14.088000297546387
1570230836.632266,17595,13.880000114440918
1570230867.8487773,17986,13.628000259399414
1570230899.1270623,18377,13.60200023651123
1570230930.3565073,18768,13.503999710083008
1570230961.5540385,19159,13.279999732971191
1570230992.7904658,19550,13.239999771118164
1570231024.1974363,19941,13.342000007629395
1570231055.4827337,20332,13.144000053405762
1570231086.8518057,20723,13.105999946594238
1570231118.1181517,21114,13.288000106811523
1570231149.3725307,21505,13.07800006866455
1570231180.5620837,21896,12.699999809265137
1570231211.751636,22287,13.017999649047852
1570231242.9242637,22678,13.140000343322754
1570231274.1158094,23069,12.678000450134277
1570231305.540704,23460,12.54800033569336
1570231336.911771,23851,12.960000038146973
1570231368.140219,24242,12.600000381469727
1570231399.5122833,24633,12.62600040435791
1570231430.7237773,25024,12.586000442504883
1570231461.896375,25415,12.5600004196167
1570231493.1008875,25806,12.428000450134277
1570231524.327342,26197,12.449999809265137
1570231555.5727444,26588,12.23799991607666
1570231586.8361003,26979,12.37399959564209
1570231618.028644,27370,12.395999908447266
1570231649.3877428,27761,12.394000053405762
1570231680.6002347,28152,12.251999855041504
1570231711.9044797,28543,11.907999992370605
1570231743.128939,28934,11.871999740600586
1570231774.363372,29325,12.055999755859375
1570231805.6496656,29716,11.862000465393066
1570231836.8222923,30107,11.8100004196167
1570231868.1215513,30498,11.944000244140625
1570231899.3300247,30889,12.071999549865723
1570231930.5255606,31280,11.557999610900879
1570231961.808863,31671,11.883999824523926
1570231992.9475508,32062,11.425999641418457
1570232024.2428205,32453,7.168000221252441
1570232055.3765225,32844,6.25600004196167
1570232086.548123,33235,5.874000072479248
1570232117.9181926,33626,5.546000003814697
1570232149.147639,34017,5.4679999351501465
1570232180.377084,34408,5.0320000648498535
1570232211.6224868,34799,4.9720001220703125
1570232242.7103121,35190,4.892000198364258
1570232274.0135603,35581,4.552000045776367
1570232305.1113582,35972,4.48199987411499
1570232336.4076252,36363,4.414000034332275
1570232367.6470447,36754,4.276000022888184
1570232398.857575,37145,4.188000202178955
1570232430.130869,37536,4.041999816894531
1570232461.4231474,37927,3.8559999465942383
1570232492.6785548,38318,3.944000005722046
1570232523.9358945,38709,3.752000093460083
1570232555.0047696,39100,3.8459999561309814
1570232586.2312243,39491,3.691999912261963
1570232617.3200462,39882,3.507999897003174
1570232648.5415127,40273,3.4539999961853027
1570232679.7500145,40664,3.427999973297119
1570232711.0163615,41055,3.4240000247955322
1570232742.267749,41446,3.2739999294281006
1570232773.5749865,41837,3.3440001010894775
1570232804.7864914,42228,3.177999973297119
1570232836.1575472,42619,3.2739999294281006
1570232867.2284174,43010,3.0799999237060547
1570232898.5137134,43401,3.1740000247955322
1570232929.4110477,43792,3.0999999046325684
1570232960.7372656,44183,3.059999942779541
1570232992.002585,44574,2.9179999828338623
1570233023.2829258,44965,2.9600000381469727
1570233054.4824204,45356,2.859999895095825
1570233085.7637656,45747,2.7960000038146973
1570233117.2335298,46138,2.687999963760376
1570233148.564727,46529,2.7920000553131104
1570233179.504923,46920,2.7980000972747803
1570233210.8271215,47311,2.7019999027252197
1570233241.970796,47702,2.640000104904175
1570233273.2840462,48093,2.6059999465942383
1570233304.5184798,48484,1.9919999837875366
1570233335.91844,48875,1.9220000505447388
1570233367.3413684,49266,1.753999948501587
1570233398.595747,49657,1.7259999513626099
1570233430.0884883,50048,1.684000015258789
1570233461.4914703,50439,1.6019999980926514
1570233492.5164926,50830,1.6779999732971191
1570233523.960335,51221,1.5959999561309814
1570233555.0341973,51612,1.5540000200271606
1570233586.672549,52003,1.5700000524520874
1570233618.1004636,52394,1.5880000591278076
1570233649.4755194,52785,1.5679999589920044
1570233681.1168635,53176,1.5019999742507935
1570233712.461043,53567,1.4600000381469727
1570233743.7373235,53958,1.531999945640564
1570233774.9597874,54349,1.444000005722046
1570233806.0885026,54740,1.4880000352859497
1570233837.4825075,55131,1.3760000467300415
1570233868.6790702,55522,1.434000015258789
1570233900.0441244,55913,1.4279999732971191
1570233931.392253,56304,1.2920000553131104
1570233962.614717,56695,1.3839999437332153
1570233993.9568615,57086,1.3819999694824219
1570234025.2461476,57477,1.440000057220459
1570234056.5633585,57868,1.3580000400543213
1570234087.9364202,58259,1.315999984741211
1570234119.1967826,58650,1.2940000295639038
1570234150.5648582,59041,1.2940000295639038
1570234181.7384531,59432,1.3359999656677246
1570234212.9419684,59823,1.340000033378601
1570234244.271147,60214,1.277999997138977
1570234275.5544488,60605,1.3660000562667847
1570234306.9095583,60996,1.3300000429153442
1570234338.3414915,61387,1.2799999713897705
1570234369.6516924,61778,1.2999999523162842
1570234401.1773527,62169,1.312000036239624
1570234432.5723484,62560,1.2619999647140503
1570234463.861634,62951,1.3020000457763672
1570234495.3962634,63342,1.2799999713897705
1570234526.6227179,63733,1.2259999513626099
1570234558.0476406,64124,1.2020000219345093
